Protein_1,Protein_2,pTM,ipTM,Ranking_confidence
korC,KorC,0.91,0.89,0.8940000000000001
klcA,KorC,0.62,0.27,0.34
tnpR,KorC,0.4,0.13,0.18400000000000002
tetR,KorC,0.67,0.27,0.35000000000000003
upf16.5,KorC,0.39,0.22,0.254
bla,KorC,0.74,0.23,0.332
trfA,KorC,0.6,0.2,0.28
tetA,KorC,0.71,0.21,0.31
klcB,KorC,0.45,0.22,0.266
tnpA,KorC,0.69,0.19,0.29000000000000004
